iter	Passed	Remaining
155	8899	48146
156	8954	48080
157	9010	48018
158	9065	47952
159	9122	47893
160	9179	47835
161	9240	47798
162	9301	47762
163	9362	47725
164	9422	47686
165	9483	47643
166	9542	47596
167	9597	47531
168	9652	47462
169	9715	47433
170	9770	47366
171	9827	47308
172	9883	47247
173	9939	47183
174	9994	47116
175	10048	47044
176	10104	46982
177	10159	46917
178	10221	46880
179	10283	46845
180	10342	46798
181	10404	46761
182	10461	46706
183	10520	46656
184	10581	46613
185	10635	46545
186	10692	46486
187	10749	46428
188	10804	46364
189	10860	46300
190	10914	46230
191	10970	46168
192	11027	46110
193	11083	46048
194	11138	45983
195	11194	45921
196	11255	45877
197	11314	45830
198	11375	45786
199	11435	45741
200	11494	45693
201	11550	45628
202	11607	45572
203	11663	45510
204	11718	45443
205	11774	45384
206	11829	45319
207	11885	45255
208	11940	45190
209	11996	45131
210	12051	45063
211	12106	45001
212	12162	44936
213	12223	44896
214	12283	44849
215	12345	44809
216	12406	44765
217	12466	44717
218	12525	44670
219	12581	44607
220	12636	44540
221	12691	44478
222	12746	44412
223	12801	44348
224	12857	44287
225	12912	44222
226	12968	44160
227	13024	44098
228	13079	44035
229	13135	43974
230	13191	43914
231	13253	43873
232	13314	43828
233	13377	43789
234	13436	43741
235	13498	43697
236	13554	43636
237	13609	43573
238	13665	43511
239	13720	43447
240	13775	43383
241	13834	43334
242	13889	43269
243	13944	43206
244	14000	43143
245	14056	43083
246	14112	43022
247	14168	42961
248	14227	42910
249	14287	42862
250	14348	42816
251	14409	42770
252	14471	42726
253	14526	42664
254	14582	42602
255	14637	42539
256	14693	42479
257	14748	42416
258	14804	42354
259	14859	42293
260	14916	42233
261	14971	42170
262	15026	42108
263	15081	42046
264	15137	41984
265	15195	41930
266	15252	41872
267	15311	41821
268	15374	41779
269	15434	41731
270	15496	41686
271	15550	41620
272	15609	41568
273	15666	41509
274	15720	41445
275	15775	41382
276	15831	41322
277	15887	41260
278	15942	41198
279	15997	41136
280	16052	41074
281	16108	41013
282	16167	40961
283	16230	40920
284	16291	40871
285	16352	40823
286	16411	40772
287	16472	40723
288	16532	40674
289	16588	40612
290	16644	40551
291	16700	40493
292	16755	40431
293	16811	40370
294	16868	40311
295	16922	40249
296	16978	40187
297	17034	40128
298	17089	40065
299	17144	40004
300	17206	39956
301	17268	39911
302	17329	39864
303	17390	39815
304	17448	39759
305	17507	39707
306	17562	39643
307	17618	39583
308	17672	39520
309	17727	39457
310	17782	39396
311	17837	39334
312	17894	39276
313	17949	39214
314	18005	39154
315	18061	39095
316	18116	39032
317	18171	38970
318	18231	38919
319	18292	38870
320	18351	38818
321	18413	38770
322	18474	38722
323	18531	38665
324	18588	38606
325	18643	38545
326	18699	38485
327	18753	38421
328	18809	38361
329	18865	38301
330	18919	38238
331	18974	38177
332	19031	38119
333	19087	38061
334	19142	38000
335	19203	37950
336	19264	37900
337	19322	37843
338	19382	37792
339	19441	37739
340	19501	37686
341	19556	37626
342	19612	37567
343	19668	37507
344	19723	37445
345	19778	37384
346	19833	37323
347	19889	37265
348	19946	37206
349	20002	37147
350	20058	37087
351	20112	37024
352	20169	36967
353	20229	36916
354	20290	36866
355	20351	36816
356	20411	36764
357	20471	36711
358	20526	36650
359	20582	36591
360	20638	36531
361	20694	36471
362	20749	36411
363	20804	36350
364	20860	36290
365	20917	36233
366	20973	36174
367	21028	36113
368	21085	36056
369	21139	35994
370	21201	35945
371	21262	35894
372	21323	35843
373	21383	35791
374	21442	35737
375	21504	35687
376	21558	35625
377	21614	35567
378	21671	35509
379	21727	35449
380	21782	35389
381	21837	35329
382	21892	35268
383	21947	35207
384	22002	35147
385	22060	35090
386	22111	35024
387	22166	34963
388	22226	34911
389	22287	34860
390	22348	34808
391	22411	34761
392	22473	34710
393	22528	34650
394	22584	34590
395	22640	34532
396	22695	34472
397	22750	34411
398	22805	34351
399	22862	34293
